id,Date,Measure,Count,Reporting,Missing
297,2020-06-14,Staff.Deaths,41,48,"Delaware, Mississippi, Montana, ICE, District of Columbia"
298,2020-06-21,Staff.Deaths,39,48,"Delaware, Mississippi, New Jersey, ICE, District of Columbia"
299,2020-06-28,Staff.Deaths,43,49,"Arizona, Mississippi, ICE, District of Columbia"
300,2020-07-05,Staff.Deaths,42,47,"Arizona, Mississippi, Nebraska, New Jersey, ICE
301, District of Columbia"
302,2020-07-12,Staff.Deaths,38,45,"Arizona, Delaware, Mississippi, Nebraska, New Jersey
303, New York, ICE, District of Columbia"
304,2020-07-19,Staff.Deaths,47,48,"Arizona, Mississippi, New Jersey, ICE, District of Columbia"
305,2020-07-26,Staff.Deaths,51,47,"Arizona, Mississippi, Nebraska, New Jersey, ICE
306, District of Columbia"
307,2020-08-02,Staff.Deaths,60,46,"Arizona, Mississippi, Montana, Nebraska, New Jersey
308, ICE, District of Columbia"
309,2020-08-09,Staff.Deaths,65,47,"Arizona, Mississippi, Nebraska, New Jersey, ICE
310, District of Columbia"
311,2020-08-16,Staff.Deaths,70,46,"Arizona, Mississippi, Montana, New Jersey, Oklahoma
312, ICE, District of Columbia"
313,2020-08-23,Staff.Deaths,72,45,"Arizona, Illinois, Massachusetts, Mississippi, New Jersey
314, Virginia, ICE, District of Columbia"
315,2020-08-30,Staff.Deaths,72,45,"Alaska, Arizona, Hawaii, Massachusetts, Mississippi
316, New Jersey, ICE, District of Columbia"
317,2020-09-06,Staff.Deaths,73,45,"Alaska, Arizona, Massachusetts, Mississippi, New Jersey
318, Virginia, ICE, District of Columbia"
319,2020-09-13,Staff.Deaths,76,46,"Arizona, Massachusetts, Mississippi, New Jersey, Oklahoma
320, ICE, District of Columbia"
321,2020-09-20,Staff.Deaths,79,46,"Arizona, Hawaii, Massachusetts, Mississippi, New Jersey
322, ICE, District of Columbia"
323,2020-09-27,Staff.Deaths,84,47,"Arizona, Massachusetts, Mississippi, New Jersey, ICE
324, District of Columbia"
325,2020-10-04,Staff.Deaths,84,46,"Arizona, Hawaii, Massachusetts, Mississippi, New Jersey
326, Oregon, ICE"
327,2020-10-11,Staff.Deaths,82,44,"Arizona, Hawaii, Kansas, Massachusetts, Mississippi
328, New Hampshire, New Jersey, Oregon, ICE"
329,2020-10-18,Staff.Deaths,86,48,"Arizona, Massachusetts, Mississippi, New Jersey, ICE"
330,2020-10-25,Staff.Deaths,87,47,"Arizona, Massachusetts, Mississippi, New Jersey, Oklahoma
331, ICE"
332,2020-11-01,Staff.Deaths,87,44,"Arizona, Colorado, Maine, Massachusetts, Mississippi
333, New Jersey, Oklahoma, Wisconsin, ICE"
334,2020-11-08,Staff.Deaths,86,44,"Arizona, Florida, Massachusetts, Mississippi, Nebraska
335, New Jersey, Oklahoma, Wisconsin, ICE"
336,2020-11-15,Staff.Deaths,92,42,"Arizona, Colorado, Massachusetts, Mississippi, Missouri
337, Nebraska, New Jersey, Oklahoma, Utah, Wisconsin
338, ICE"
339,2020-11-22,Staff.Deaths,96,41,"Arizona, Colorado, Maine, Massachusetts, Mississippi
340, Nebraska, New Jersey, Oklahoma, Rhode Island, Utah
341, Wisconsin, ICE"
342,2020-11-29,Staff.Deaths,102,45,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
343, Oklahoma, Wisconsin, ICE"
344,2020-12-06,Staff.Deaths,104,44,"Arizona, Massachusetts, Mississippi, Nebraska, New Hampshire
345, New Jersey, Oklahoma, Wisconsin, ICE"
346,2020-12-13,Staff.Deaths,109,42,"Arizona, Connecticut, Illinois, Massachusetts, Mississippi
347, Nebraska, New Jersey, Oklahoma, Utah, Wisconsin
348, ICE"
349,2020-12-20,Staff.Deaths,111,43,"Arizona, Florida, Minnesota, Mississippi, Nebraska
350, New Jersey, Oklahoma, Utah, Wisconsin, ICE"
351,2020-12-27,Staff.Deaths,122,42,"Arizona, Colorado, Florida, Massachusetts, Nebraska
352, New Jersey, Oklahoma, Utah, Wisconsin, Wyoming
353, ICE"
354,2021-01-03,Staff.Deaths,128,39,"Arizona, Florida, Hawaii, Massachusetts, Minnesota
355, Mississippi, Nebraska, New Hampshire, New Jersey, Oklahoma
356, Oregon, Utah, Wisconsin, ICE"
357,2021-01-10,Staff.Deaths,140,41,"Arizona, Illinois, Massachusetts, Minnesota, Mississippi
358, Nebraska, New Hampshire, New Jersey, Oklahoma, Utah
359, Wisconsin, ICE"
360,2021-01-17,Staff.Deaths,153,41,"Arizona, Arkansas, Massachusetts, Minnesota, Mississippi
361, Nebraska, New Hampshire, New Jersey, Oklahoma, Utah
362, Wisconsin, ICE"
363,2021-01-24,Staff.Deaths,163,43,"Arizona, Massachusetts, Mississippi, Nebraska, New Jersey
364, Oklahoma, Oregon, Utah, Wisconsin, ICE"
365,2021-01-31,Staff.Deaths,166,44,"Arizona, Massachusetts, Minnesota, Mississippi, Nebraska
366, New Jersey, Oklahoma, Wisconsin, ICE"
367,2021-02-07,Staff.Deaths,166,37,"Alaska, Arizona, Connecticut, Florida, Hawaii
368, Massachusetts, Minnesota, Mississippi, Nebraska, New Hampshire
369, New Jersey, Oklahoma, Oregon, Utah, Wisconsin
370, ICE"
